큰 지역	작은 지역	이름	종류	평점
오사카	난바	스시잔마이	일식	4.5
오사카	우메다	kitashinchi kushitaksu Bon	일식 꼬치 및 튀김	4.5
오사카	우메다	epais	돈까스	4.1
오사카	신사이바시	쿠로게와규야키니쿠이치	야키니쿠	3.7
오사카	도톤보리	쿠로게와규야키니쿠이치	야키니쿠	3.8
오사카	도톤보리	미츠키	오코노미야끼	4.6
오사카	도톤보리	규카츠 모토무라	규카츠	4.8
오사카	카이간도리	해유관 수족관	관광지	-
오사카	히고바시	츠지타	츠케멘	4.0
오사카	우메다	스시 오하타	스시오마카세	4.6
오사카	사쿠라지마	유니버셜스튜디오	관광지	-
오사카	우메다	우메다 공중정원	관광지	-
도쿄	요코하마시	오타나와노렌	스키야키	4.3
도쿄	나리타히가시	돈카츠 나리쿠라	돈까스	4.3
도쿄	신주쿠시	타츠노야	라멘	4.4
도쿄	시부야	palantir technology japan	관광지	-
도쿄	긴자	스시미도리	스시	4.3
도쿄	치요다 유라쿠초	스시 난바	스시	4.6
도쿄	미나토구	도쿄타워	관광지	-
도쿄	아사쿠사	센소지	관광지	-
도쿄	스미다구	도쿄 스카이트리	관광지	-
도쿄	긴자	스시이치	일식	4.8
삿포로	신치토세공항	부타동메이진	일식	4.0
삿포로	주오구	우니 무라카미	해산물요리	4.2
삿포로	조히가시	토리톤스시	회전초밥	4.3
삿포로	주오구	카츠카니노 하나사키	게 요리	4.2
삿포로	오도리	징기스칸요시	일식	4.6
삿포로	니보리베츠	지옥계곡	관광지	-
삿포로	카미카와	켄과메리의나무	관광지	-
삿포로	소라치	파노라마 로드	관광지	-
삿포로	주오구	나카지마 공원	관광지	-
후쿠오카	스미요시	에비스야 우동	우동	4.4




